Sales Person,Geography,Product,Date,Amount,Boxes
Jan Morforth,Canada,Mint Chip Choco,2021-06-24,4046,169
Kaine Padly,USA,Organic Choco Syrup,2021-06-24,980,47
Ches Bonnell,New Zealand,Smooth Sliky Salty,2021-06-24,504,20
Marney O'Breen,USA,Smooth Sliky Salty,2021-06-24,2443,107
Jan Morforth,New Zealand,Smooth Sliky Salty,2021-06-24,9968,370
Kaine Padly,India,Almond Choco,2021-06-25,5621,296
Beverie Moffet,Australia,50% Dark Bites,2021-06-25,2191,79
Gigi Bohling,USA,50% Dark Bites,2021-06-28,4753,164
Beverie Moffet,New Zealand,85% Dark Bars,2021-06-28,2478,100
Gigi Bohling,New Zealand,50% Dark Bites,2021-06-28,0,0
Ches Bonnell,India,Manuka Honey Choco,2021-06-28,154,7
Oby Sorrel,USA,White Choc,2021-06-28,1197,86
Gigi Bohling,Australia,Peanut Butter Cubes,2021-06-28,1813,152
Oby Sorrel,New Zealand,99% Dark & Pure,2021-06-28,630,38
Beverie Moffet,USA,Eclairs,2021-06-28,6027,548
Oby Sorrel,India,Spicy Special Slims,2021-06-28,11809,1050
Curtice Advani,USA,Milk Bars,2021-06-28,420,17
Husein Augar,New Zealand,Drinking Coco,2021-06-28,1309,53
Gigi Bohling,UK,Organic Choco Syrup,2021-06-28,2520,110
Brien Boise,Australia,85% Dark Bars,2021-06-28,3122,131
Andria Kimpton,USA,Drinking Coco,2021-06-28,2380,104
Beverie Moffet,Australia,Mint Chip Choco,2021-06-28,3668,167
Karlen McCaffrey,Australia,Caramel Stuffed Bars,2021-06-28,2247,150
Husein Augar,USA,Organic Choco Syrup,2021-06-28,7987,364
Rafaelita Blaksland,India,Milk Bars,2021-06-29,1736,73
Gigi Bohling,India,Mint Chip Choco,2021-06-29,5425,217
Madelene Upcott,USA,Raspberry Choco,2021-06-29,6111,255
Wilone O'Kielt,Canada,Baker's Choco Chips,2021-06-29,168,16
Kelci Walkden,UK,Raspberry Choco,2021-06-29,1925,75
Madelene Upcott,UK,Baker's Choco Chips,2021-06-29,4102,293
Gunar Cockshoot,Australia,After Nines,2021-06-29,3598,157
Dotty Strutley,India,Orange Choco,2021-06-29,2667,103
Oby Sorrel,USA,Almond Choco,2021-06-29,1407,75
Barr Faughny,New Zealand,50% Dark Bites,2021-06-29,2730,98
Dotty Strutley,UK,Choco Coated Almonds,2021-06-29,1785,82
Gigi Bohling,Australia,Milk Bars,2021-06-29,5817,253
Dotty Strutley,USA,Almond Choco,2021-06-29,196,11
Wilone O'Kielt,Australia,Mint Chip Choco,2021-06-29,1491,60
Brien Boise,UK,Spicy Special Slims,2021-06-29,1162,97
Brien Boise,Australia,Smooth Sliky Salty,2021-06-29,1295,52
Kelci Walkden,Canada,Eclairs,2021-06-29,7553,630
Andria Kimpton,UK,Spicy Special Slims,2021-06-29,1106,93
Beverie Moffet,USA,50% Dark Bites,2021-06-30,427,18
Oby Sorrel,Australia,Almond Choco,2021-06-30,84,4
Andria Kimpton,New Zealand,Baker's Choco Chips,2021-07-01,4060,508
Beverie Moffet,New Zealand,Almond Choco,2021-07-01,2961,124
Beverie Moffet,New Zealand,Eclairs,2021-07-01,1939,162
Karlen McCaffrey,Canada,Choco Coated Almonds,2021-07-01,4739,198
Brien Boise,India,Milk Bars,2021-07-01,1050,59
Madelene Upcott,USA,Choco Coated Almonds,2021-07-01,1540,70
Karlen McCaffrey,New Zealand,Drinking Coco,2021-07-01,3409,137
Karlen McCaffrey,New Zealand,50% Dark Bites,2021-07-01,420,20
Jan Morforth,Canada,Eclairs,2021-07-01,5523,461
Wilone O'Kielt,Australia,After Nines,2021-07-01,3969,209
Husein Augar,Canada,99% Dark & Pure,2021-07-01,952,60
Dotty Strutley,USA,50% Dark Bites,2021-07-01,1645,75
Jan Morforth,USA,After Nines,2021-07-01,2674,149
Ches Bonnell,USA,85% Dark Bars,2021-07-01,504,24
Gunar Cockshoot,UK,Orange Choco,2021-07-01,1484,212
Rafaelita Blaksland,Canada,Choco Coated Almonds,2021-07-01,3185,128
Gunar Cockshoot,Australia,99% Dark & Pure,2021-07-01,1008,63
Jan Morforth,Canada,Milk Bars,2021-07-01,8134,429
Curtice Advani,New Zealand,Manuka Honey Choco,2021-07-01,924,66
Dotty Strutley,UK,Fruit & Nut Bars,2021-07-01,3353,258
Andria Kimpton,India,85% Dark Bars,2021-07-01,3318,158
Beverie Moffet,New Zealand,Choco Coated Almonds,2021-07-01,3094,135
Gigi Bohling,Australia,Manuka Honey Choco,2021-07-01,511,37
Brien Boise,Canada,85% Dark Bars,2021-07-01,2240,107
Kelci Walkden,Australia,Orange Choco,2021-07-01,8155,1610
Kaine Padly,New Zealand,Organic Choco Syrup,2021-07-01,1239,50
Ches Bonnell,Australia,Fruit & Nut Bars,2021-07-01,2849,220
Oby Sorrel,Australia,Baker's Choco Chips,2021-07-01,4515,452
Kelci Walkden,Australia,Milk Bars,2021-07-01,3129,174
Dotty Strutley,UK,50% Dark Bites,2021-07-01,2100,96
Curtice Advani,USA,After Nines,2021-07-01,420,23
Kaine Padly,UK,70% Dark Bites,2021-07-01,2667,178
Rafaelita Blaksland,India,Choco Coated Almonds,2021-07-01,2086,95
Kaine Padly,UK,Manuka Honey Choco,2021-07-01,2744,162
Husein Augar,New Zealand,Drinking Coco,2021-07-01,3283,137
Andria Kimpton,New Zealand,Choco Coated Almonds,2021-07-01,1365,60
Barr Faughny,India,Choco Coated Almonds,2021-07-01,2919,133
Kaine Padly,Canada,Spicy Special Slims,2021-07-01,6601,441
Curtice Advani,UK,99% Dark & Pure,2021-07-01,3472,232
Oby Sorrel,India,50% Dark Bites,2021-07-01,5187,236
Rafaelita Blaksland,New Zealand,Smooth Sliky Salty,2021-07-01,7805,840
Husein Augar,India,85% Dark Bars,2021-07-01,10199,486
Ches Bonnell,New Zealand,70% Dark Bites,2021-07-01,12012,770
Kaine Padly,Australia,Fruit & Nut Bars,2021-07-01,6776,424
Dotty Strutley,Australia,Mint Chip Choco,2021-07-02,5712,840
Marney O'Breen,UK,Raspberry Choco,2021-07-02,2821,149
Gigi Bohling,Australia,Milk Bars,2021-07-02,11753,692
Karlen McCaffrey,India,Almond Choco,2021-07-02,819,35
Curtice Advani,India,White Choc,2021-07-02,3654,203
Barr Faughny,New Zealand,Spicy Special Slims,2021-07-02,5705,408
Kelci Walkden,India,Milk Bars,2021-07-02,3017,178
Kaine Padly,New Zealand,Mint Chip Choco,2021-07-02,5733,840
Jan Morforth,USA,Almond Choco,2021-07-02,7168,276
Gigi Bohling,India,Choco Coated Almonds,2021-07-02,2072,87
Barr Faughny,USA,Eclairs,2021-07-02,2191,244
Kaine Padly,Australia,White Choc,2021-07-02,3465,174
Ches Bonnell,Australia,Manuka Honey Choco,2021-07-02,3395,200
Karlen McCaffrey,Australia,Smooth Sliky Salty,2021-07-02,3332,417
Madelene Upcott,UK,Peanut Butter Cubes,2021-07-02,4634,309
Wilone O'Kielt,USA,Almond Choco,2021-07-02,4193,175
Wilone O'Kielt,UK,Peanut Butter Cubes,2021-07-02,1890,146
Marney O'Breen,New Zealand,Smooth Sliky Salty,2021-07-02,12299,1400
Madelene Upcott,USA,50% Dark Bites,2021-07-02,1869,85
Marney O'Breen,Canada,Drinking Coco,2021-07-02,3052,128
Jan Morforth,Australia,70% Dark Bites,2021-07-02,3451,216
Barr Faughny,UK,50% Dark Bites,2021-07-02,5572,266
Oby Sorrel,Australia,Manuka Honey Choco,2021-07-02,1309,82
Karlen McCaffrey,UK,Caramel Stuffed Bars,2021-07-02,4963,199
Husein Augar,USA,Raspberry Choco,2021-07-02,6167,343
Marney O'Breen,USA,Orange Choco,2021-07-02,16359,2030
Wilone O'Kielt,UK,85% Dark Bars,2021-07-02,175,9
Jan Morforth,UK,Almond Choco,2021-07-02,6650,278
Jan Morforth,Australia,Eclairs,2021-07-05,707,71
Marney O'Breen,USA,Organic Choco Syrup,2021-07-05,2282,96
Barr Faughny,Canada,99% Dark & Pure,2021-07-05,3745,235
Gigi Bohling,Australia,Spicy Special Slims,2021-07-05,5502,424
Andria Kimpton,UK,Manuka Honey Choco,2021-07-05,1813,130
Gigi Bohling,USA,99% Dark & Pure,2021-07-05,910,54
Barr Faughny,New Zealand,Drinking Coco,2021-07-05,7350,294
Gigi Bohling,UK,Mint Chip Choco,2021-07-05,1911,192
Ches Bonnell,USA,Caramel Stuffed Bars,2021-07-05,4473,179
Barr Faughny,USA,Baker's Choco Chips,2021-07-05,5908,657
Oby Sorrel,UK,Fruit & Nut Bars,2021-07-05,3010,232
Madelene Upcott,New Zealand,Almond Choco,2021-07-06,1540,58
Curtice Advani,Australia,Raspberry Choco,2021-07-06,4543,253
Rafaelita Blaksland,Canada,Mint Chip Choco,2021-07-06,3934,394
Kelci Walkden,Canada,50% Dark Bites,2021-07-06,4823,220
Oby Sorrel,New Zealand,Peanut Butter Cubes,2021-07-06,4382,366
Wilone O'Kielt,USA,99% Dark & Pure,2021-07-06,6076,380
Husein Augar,India,After Nines,2021-07-06,5026,296
Madelene Upcott,UK,Orange Choco,2021-07-06,3640,607
Ches Bonnell,Australia,Choco Coated Almonds,2021-07-06,6706,305
Jan Morforth,Australia,Mint Chip Choco,2021-07-06,2366,296
Ches Bonnell,New Zealand,Eclairs,2021-07-06,1736,174
Andria Kimpton,India,Peanut Butter Cubes,2021-07-06,469,40
Brien Boise,USA,Eclairs,2021-07-06,2905,243
Dotty Strutley,UK,Almond Choco,2021-07-06,5257,211
Ches Bonnell,Canada,70% Dark Bites,2021-07-06,1806,139
Madelene Upcott,Canada,Mint Chip Choco,2021-07-07,3192,399
Karlen McCaffrey,USA,Spicy Special Slims,2021-07-07,8932,596
Brien Boise,India,Baker's Choco Chips,2021-07-07,707,71
Karlen McCaffrey,USA,Raspberry Choco,2021-07-07,1519,90
Brien Boise,UK,85% Dark Bars,2021-07-07,7630,364
Barr Faughny,USA,Peanut Butter Cubes,2021-07-07,5243,375
Beverie Moffet,USA,After Nines,2021-07-07,4676,276
Jan Morforth,India,Caramel Stuffed Bars,2021-07-07,2877,111
Ches Bonnell,Australia,70% Dark Bites,2021-07-07,1267,91
Oby Sorrel,Canada,After Nines,2021-07-07,3584,200
Dennison Crosswaite,Australia,Organic Choco Syrup,2021-07-07,1008,41
Jan Morforth,India,70% Dark Bites,2021-07-07,8309,640
Rafaelita Blaksland,Australia,Baker's Choco Chips,2021-07-07,3689,369
Brien Boise,Canada,Spicy Special Slims,2021-07-07,5131,428
Andria Kimpton,Canada,99% Dark & Pure,2021-07-07,7861,492
Madelene Upcott,New Zealand,Eclairs,2021-07-07,3122,313
Brien Boise,Australia,Mint Chip Choco,2021-07-07,1316,147
Ches Bonnell,Canada,Spicy Special Slims,2021-07-07,5992,500
Brien Boise,India,Orange Choco,2021-07-07,1533,219
Ches Bonnell,New Zealand,Orange Choco,2021-07-07,5859,700
Jan Morforth,New Zealand,Manuka Honey Choco,2021-07-07,8064,475
Barr Faughny,Australia,85% Dark Bars,2021-07-07,8470,385
Dotty Strutley,New Zealand,Orange Choco,2021-07-07,364,73
Kaine Padly,USA,Manuka Honey Choco,2021-07-07,2016,135
Ches Bonnell,USA,99% Dark & Pure,2021-07-07,4571,269
Andria Kimpton,India,After Nines,2021-07-07,1813,101
Curtice Advani,India,Orange Choco,2021-07-07,2191,313
Ches Bonnell,UK,After Nines,2021-07-07,945,48
Dotty Strutley,UK,White Choc,2021-07-07,2800,140
Kaine Padly,USA,70% Dark Bites,2021-07-07,84,6
Kelci Walkden,UK,Smooth Sliky Salty,2021-07-07,7994,980
Kelci Walkden,India,50% Dark Bites,2021-07-07,7882,343
Husein Augar,USA,Drinking Coco,2021-07-07,7350,307
Dennison Crosswaite,India,Mint Chip Choco,2021-07-07,1988,199
Oby Sorrel,UK,Smooth Sliky Salty,2021-07-07,6986,840
Gunar Cockshoot,UK,Eclairs,2021-07-08,2933,326
Curtice Advani,India,Eclairs,2021-07-08,700,64
Marney O'Breen,Canada,Milk Bars,2021-07-08,2338,124
Marney O'Breen,India,Choco Coated Almonds,2021-07-08,3619,158
Brien Boise,New Zealand,Fruit & Nut Bars,2021-07-08,10850,700
Wilone O'Kielt,Canada,85% Dark Bars,2021-07-08,959,46
Curtice Advani,USA,Fruit & Nut Bars,2021-07-08,1022,69
Rafaelita Blaksland,UK,Almond Choco,2021-07-08,5278,203
Gunar Cockshoot,New Zealand,Eclairs,2021-07-08,392,36
Barr Faughny,New Zealand,Smooth Sliky Salty,2021-07-08,1372,172
Marney O'Breen,Australia,85% Dark Bars,2021-07-08,4844,255
Beverie Moffet,New Zealand,Milk Bars,2021-07-08,7126,446
Husein Augar,Canada,Choco Coated Almonds,2021-07-08,7084,284
Ches Bonnell,India,Orange Choco,2021-07-08,2996,600
Marney O'Breen,Australia,Spicy Special Slims,2021-07-08,1708,143
Andria Kimpton,USA,Caramel Stuffed Bars,2021-07-08,7812,301
Jan Morforth,Canada,After Nines,2021-07-08,1498,79
Karlen McCaffrey,Canada,Raspberry Choco,2021-07-08,455,24
Andria Kimpton,UK,Organic Choco Syrup,2021-07-08,553,26
Ches Bonnell,Canada,Fruit & Nut Bars,2021-07-08,4984,384
Karlen McCaffrey,New Zealand,85% Dark Bars,2021-07-08,987,50
Gigi Bohling,Canada,Spicy Special Slims,2021-07-08,10528,700
Brien Boise,UK,Orange Choco,2021-07-08,4151,519
Jan Morforth,New Zealand,Milk Bars,2021-07-08,3717,207
Jan Morforth,India,Spicy Special Slims,2021-07-08,3101,222
Kaine Padly,USA,Caramel Stuffed Bars,2021-07-08,5383,216
Curtice Advani,India,99% Dark & Pure,2021-07-08,1162,73
Karlen McCaffrey,UK,Spicy Special Slims,2021-07-08,3038,217
Kaine Padly,India,99% Dark & Pure,2021-07-08,5236,308
Beverie Moffet,UK,Fruit & Nut Bars,2021-07-08,7343,459
Wilone O'Kielt,New Zealand,Manuka Honey Choco,2021-07-08,8239,485
Gigi Bohling,New Zealand,Baker's Choco Chips,2021-07-08,2513,359
Oby Sorrel,UK,Raspberry Choco,2021-07-08,4130,207
Madelene Upcott,India,Drinking Coco,2021-07-08,7574,303
Marney O'Breen,USA,Raspberry Choco,2021-07-08,7154,358
Curtice Advani,USA,Mint Chip Choco,2021-07-08,217,22
Curtice Advani,USA,Caramel Stuffed Bars,2021-07-08,2828,118
Dotty Strutley,Australia,85% Dark Bars,2021-07-08,9772,515
Kelci Walkden,USA,Choco Coated Almonds,2021-07-08,5656,227
Gunar Cockshoot,Canada,Spicy Special Slims,2021-07-08,1764,147
Ches Bonnell,Australia,99% Dark & Pure,2021-07-08,1715,96
Wilone O'Kielt,India,Choco Coated Almonds,2021-07-08,2982,136
Gigi Bohling,Australia,70% Dark Bites,2021-07-08,973,70
Marney O'Breen,USA,White Choc,2021-07-08,5320,313
Ches Bonnell,New Zealand,50% Dark Bites,2021-07-08,3514,176
Gigi Bohling,New Zealand,50% Dark Bites,2021-07-08,728,34
Madelene Upcott,Canada,Milk Bars,2021-07-08,1029,55
Curtice Advani,USA,Organic Choco Syrup,2021-07-08,4011,161
Karlen McCaffrey,New Zealand,Fruit & Nut Bars,2021-07-09,3983,266
Oby Sorrel,USA,50% Dark Bites,2021-07-09,581,26
Brien Boise,USA,Baker's Choco Chips,2021-07-09,8127,1190
Husein Augar,USA,After Nines,2021-07-09,3514,196
Curtice Advani,Canada,99% Dark & Pure,2021-07-09,4914,273
Marney O'Breen,UK,Choco Coated Almonds,2021-07-09,8064,323
Curtice Advani,USA,Choco Coated Almonds,2021-07-09,8022,365
Gigi Bohling,India,Spicy Special Slims,2021-07-09,1981,142
Dotty Strutley,Canada,Caramel Stuffed Bars,2021-07-09,2065,83
Jan Morforth,Canada,Fruit & Nut Bars,2021-07-09,1813,121
Kelci Walkden,Canada,After Nines,2021-07-09,3038,152
Marney O'Breen,New Zealand,After Nines,2021-07-09,12607,700
Rafaelita Blaksland,Canada,Smooth Sliky Salty,2021-07-09,350,50
Husein Augar,USA,Mint Chip Choco,2021-07-09,10472,1330
Barr Faughny,India,Smooth Sliky Salty,2021-07-09,7427,1050
Gigi Bohling,Canada,85% Dark Bars,2021-07-09,567,30
Dennison Crosswaite,Canada,Orange Choco,2021-07-09,2107,301
Madelene Upcott,USA,Milk Bars,2021-07-09,343,19
Oby Sorrel,India,Raspberry Choco,2021-07-09,2751,162
Gigi Bohling,Canada,Milk Bars,2021-07-12,3402,213
Gigi Bohling,USA,Spicy Special Slims,2021-07-12,707,51
Brien Boise,New Zealand,70% Dark Bites,2021-07-12,3430,245
Gigi Bohling,New Zealand,Drinking Coco,2021-07-12,5341,223
Curtice Advani,Canada,Peanut Butter Cubes,2021-07-12,2625,175
Oby Sorrel,UK,Choco Coated Almonds,2021-07-12,5285,221
Karlen McCaffrey,India,85% Dark Bars,2021-07-12,4207,192
Jan Morforth,UK,Choco Coated Almonds,2021-07-12,5929,248
Beverie Moffet,Canada,Fruit & Nut Bars,2021-07-12,3864,242
Dennison Crosswaite,Canada,50% Dark Bites,2021-07-12,3150,137
Gigi Bohling,UK,Baker's Choco Chips,2021-07-12,1953,279
Andria Kimpton,UK,Baker's Choco Chips,2021-07-12,6601,661
Wilone O'Kielt,New Zealand,Caramel Stuffed Bars,2021-07-12,8995,375
Marney O'Breen,UK,Drinking Coco,2021-07-12,2380,89
Marney O'Breen,Australia,Orange Choco,2021-07-12,5992,1190
Marney O'Breen,USA,85% Dark Bars,2021-07-12,9828,468
Brien Boise,India,Spicy Special Slims,2021-07-12,609,51
Dennison Crosswaite,USA,Smooth Sliky Salty,2021-07-12,1001,112
Brien Boise,Canada,Mint Chip Choco,2021-07-12,5257,585
Madelene Upcott,Canada,Almond Choco,2021-07-12,616,24
Dotty Strutley,UK,Milk Bars,2021-07-12,2051,121
Ches Bonnell,New Zealand,85% Dark Bars,2021-07-12,182,10
Rafaelita Blaksland,UK,Raspberry Choco,2021-07-12,5383,270
Brien Boise,UK,Manuka Honey Choco,2021-07-12,987,71
Jan Morforth,Australia,Caramel Stuffed Bars,2021-07-12,2016,81
Curtice Advani,India,Almond Choco,2021-07-12,5418,201
Kelci Walkden,India,Orange Choco,2021-07-12,4550,569
Beverie Moffet,USA,Caramel Stuffed Bars,2021-07-12,1442,58
Barr Faughny,New Zealand,Mint Chip Choco,2021-07-12,2485,249
Jan Morforth,USA,Orange Choco,2021-07-12,7574,1540
Gunar Cockshoot,USA,Fruit & Nut Bars,2021-07-12,1729,124
Marney O'Breen,India,Mint Chip Choco,2021-07-12,1078,135
Madelene Upcott,Australia,85% Dark Bars,2021-07-12,70,4
Oby Sorrel,Canada,White Choc,2021-07-12,8519,426
Husein Augar,Australia,Baker's Choco Chips,2021-07-12,2877,288
Gigi Bohling,Canada,Choco Coated Almonds,2021-07-12,707,30
Kaine Padly,New Zealand,50% Dark Bites,2021-07-12,259,12
Wilone O'Kielt,New Zealand,Eclairs,2021-07-12,7511,840
Brien Boise,India,85% Dark Bars,2021-07-12,1253,60
Brien Boise,UK,Spicy Special Slims,2021-07-12,7035,503
Husein Augar,UK,Mint Chip Choco,2021-07-12,8624,980
Oby Sorrel,UK,Caramel Stuffed Bars,2021-07-12,4298,166
Beverie Moffet,UK,Orange Choco,2021-07-12,2996,500
Jan Morforth,UK,85% Dark Bars,2021-07-12,4774,228
Andria Kimpton,Australia,Mint Chip Choco,2021-07-12,4123,589
Marney O'Breen,Australia,Mint Chip Choco,2021-07-12,4214,422
Barr Faughny,New Zealand,Baker's Choco Chips,2021-07-12,5670,840
Dennison Crosswaite,Canada,Choco Coated Almonds,2021-07-12,8792,367
Kaine Padly,Australia,99% Dark & Pure,2021-07-12,7959,443
Oby Sorrel,Canada,50% Dark Bites,2021-07-12,7056,353
Gigi Bohling,Australia,Eclairs,2021-07-12,126,13
Rafaelita Blaksland,New Zealand,Peanut Butter Cubes,2021-07-12,427,33
Ches Bonnell,Canada,85% Dark Bars,2021-07-12,7490,375
Ches Bonnell,USA,Raspberry Choco,2021-07-12,1799,95
Brien Boise,New Zealand,Drinking Coco,2021-07-12,2856,119
Andria Kimpton,UK,Caramel Stuffed Bars,2021-07-12,1505,61
Gigi Bohling,Australia,Drinking Coco,2021-07-12,9177,340
Beverie Moffet,Australia,99% Dark & Pure,2021-07-12,4977,277
Ches Bonnell,Canada,White Choc,2021-07-13,6608,331
Husein Augar,USA,Choco Coated Almonds,2021-07-13,3129,126
Karlen McCaffrey,India,Baker's Choco Chips,2021-07-13,3248,325
Ches Bonnell,USA,Organic Choco Syrup,2021-07-13,7714,336
Kaine Padly,UK,Raspberry Choco,2021-07-13,1673,84
Gigi Bohling,Australia,50% Dark Bites,2021-07-13,3409,149
Dotty Strutley,USA,Raspberry Choco,2021-07-13,4655,274
Beverie Moffet,USA,50% Dark Bites,2021-07-13,2716,136
Brien Boise,India,Smooth Sliky Salty,2021-07-13,3717,465
Rafaelita Blaksland,New Zealand,70% Dark Bites,2021-07-13,2562,198
Oby Sorrel,New Zealand,85% Dark Bars,2021-07-13,4711,248
Dotty Strutley,USA,Baker's Choco Chips,2021-07-13,8316,1190
Dotty Strutley,USA,Almond Choco,2021-07-13,1918,72
Dotty Strutley,India,Smooth Sliky Salty,2021-07-13,6069,840
Kelci Walkden,UK,99% Dark & Pure,2021-07-13,3248,217
Gunar Cockshoot,USA,Milk Bars,2021-07-13,1764,104
Andria Kimpton,New Zealand,Almond Choco,2021-07-13,588,24
Ches Bonnell,Canada,Milk Bars,2021-07-13,3493,219
Gigi Bohling,Canada,50% Dark Bites,2021-07-13,6706,320
Andria Kimpton,Canada,Raspberry Choco,2021-07-13,3472,205
Barr Faughny,Canada,Manuka Honey Choco,2021-07-14,3367,241
Kaine Padly,USA,Drinking Coco,2021-07-14,3640,135
Kaine Padly,Canada,Milk Bars,2021-07-14,476,26
Rafaelita Blaksland,India,85% Dark Bars,2021-07-14,1001,51
Ches Bonnell,Canada,Almond Choco,2021-07-14,2009,75
Dotty Strutley,India,Spicy Special Slims,2021-07-14,3143,210
Karlen McCaffrey,Australia,Spicy Special Slims,2021-07-14,2772,185
Gigi Bohling,Canada,Raspberry Choco,2021-07-14,1666,93
Kaine Padly,India,Baker's Choco Chips,2021-07-14,5607,770
Andria Kimpton,USA,Baker's Choco Chips,2021-07-14,2282,286
Jan Morforth,Australia,99% Dark & Pure,2021-07-14,10955,700
Gigi Bohling,Australia,99% Dark & Pure,2021-07-15,259,15
Barr Faughny,USA,Fruit & Nut Bars,2021-07-15,5229,374
Dotty Strutley,UK,99% Dark & Pure,2021-07-15,1211,81
Dennison Crosswaite,New Zealand,Almond Choco,2021-07-15,5313,197
Andria Kimpton,USA,Mint Chip Choco,2021-07-15,10003,1400
Madelene Upcott,USA,Mint Chip Choco,2021-07-15,140,18
Madelene Upcott,Canada,50% Dark Bites,2021-07-15,9345,425
Barr Faughny,India,70% Dark Bites,2021-07-15,4921,329
Gigi Bohling,New Zealand,99% Dark & Pure,2021-07-15,3556,223
Husein Augar,Canada,Mint Chip Choco,2021-07-15,8988,1120
Madelene Upcott,Australia,70% Dark Bites,2021-07-16,5082,363
Gunar Cockshoot,USA,Peanut Butter Cubes,2021-07-16,3808,318
Brien Boise,UK,Mint Chip Choco,2021-07-16,203,23
Wilone O'Kielt,India,85% Dark Bars,2021-07-16,560,27
Kaine Padly,New Zealand,Raspberry Choco,2021-07-16,7973,420
Gigi Bohling,Australia,Fruit & Nut Bars,2021-07-16,91,6
Dennison Crosswaite,India,Spicy Special Slims,2021-07-16,13342,910
Jan Morforth,New Zealand,After Nines,2021-07-16,7406,436
Marney O'Breen,UK,Spicy Special Slims,2021-07-16,7679,549
Andria Kimpton,USA,Raspberry Choco,2021-07-16,7777,458
Ches Bonnell,USA,After Nines,2021-07-16,7315,407
Kaine Padly,UK,99% Dark & Pure,2021-07-16,4795,283
Oby Sorrel,Australia,Raspberry Choco,2021-07-16,4998,294
Dotty Strutley,New Zealand,Choco Coated Almonds,2021-07-16,1890,86
Husein Augar,UK,Smooth Sliky Salty,2021-07-16,4319,700
Ches Bonnell,Canada,Caramel Stuffed Bars,2021-07-16,10878,436
Kelci Walkden,USA,Smooth Sliky Salty,2021-07-16,4627,515
Kaine Padly,Australia,Almond Choco,2021-07-16,2870,115
Kelci Walkden,New Zealand,Eclairs,2021-07-16,5859,533
Wilone O'Kielt,India,50% Dark Bites,2021-07-16,4417,221
Karlen McCaffrey,UK,Organic Choco Syrup,2021-07-19,413,18
Husein Augar,Australia,Eclairs,2021-07-19,2373,264
Curtice Advani,Australia,Drinking Coco,2021-07-19,2667,112
Barr Faughny,India,Manuka Honey Choco,2021-07-19,126,8
Brien Boise,Australia,Peanut Butter Cubes,2021-07-19,5362,383
Barr Faughny,New Zealand,Fruit & Nut Bars,2021-07-19,1414,95
Oby Sorrel,UK,Baker's Choco Chips,2021-07-19,8190,1190
Kaine Padly,Australia,Smooth Sliky Salty,2021-07-19,2863,319
Beverie Moffet,Australia,Spicy Special Slims,2021-07-19,4081,314
Dennison Crosswaite,India,Smooth Sliky Salty,2021-07-19,448,56
Rafaelita Blaksland,India,Baker's Choco Chips,2021-07-19,7070,700
Gigi Bohling,USA,85% Dark Bars,2021-07-19,2625,132
Rafaelita Blaksland,UK,85% Dark Bars,2021-07-19,2142,98
Beverie Moffet,New Zealand,Manuka Honey Choco,2021-07-19,7182,513
Madelene Upcott,UK,Spicy Special Slims,2021-07-19,3437,246
Ches Bonnell,USA,Orange Choco,2021-07-19,8344,1400
Kaine Padly,UK,Spicy Special Slims,2021-07-19,9380,670
Gunar Cockshoot,USA,Almond Choco,2021-07-19,2296,96
Curtice Advani,USA,85% Dark Bars,2021-07-19,3787,173
Andria Kimpton,UK,Spicy Special Slims,2021-07-19,7420,495
Husein Augar,India,Mint Chip Choco,2021-07-19,5789,644
Oby Sorrel,USA,Choco Coated Almonds,2021-07-19,4893,196
Jan Morforth,India,White Choc,2021-07-19,3171,187
Dennison Crosswaite,India,White Choc,2021-07-19,1428,84
Jan Morforth,Canada,Caramel Stuffed Bars,2021-07-19,658,27
Kaine Padly,Canada,Raspberry Choco,2021-07-19,9338,550
Marney O'Breen,New Zealand,Manuka Honey Choco,2021-07-19,3682,217
Dotty Strutley,Australia,50% Dark Bites,2021-07-19,4718,225
Karlen McCaffrey,Canada,Spicy Special Slims,2021-07-19,8701,670
Jan Morforth,USA,50% Dark Bites,2021-07-19,3367,147
Brien Boise,Australia,Fruit & Nut Bars,2021-07-19,224,16
Dennison Crosswaite,Australia,Manuka Honey Choco,2021-07-19,10668,770
Gigi Bohling,Canada,70% Dark Bites,2021-07-19,3878,299
Curtice Advani,USA,Almond Choco,2021-07-19,1225,48
Kaine Padly,Canada,Orange Choco,2021-07-19,10010,1400
Karlen McCaffrey,UK,Choco Coated Almonds,2021-07-19,5796,252
Kelci Walkden,Australia,After Nines,2021-07-19,3913,218
Oby Sorrel,UK,Drinking Coco,2021-07-19,9842,394
Rafaelita Blaksland,New Zealand,Almond Choco,2021-07-19,7378,296
Wilone O'Kielt,Australia,Mint Chip Choco,2021-07-19,10213,1470
Kaine Padly,India,Mint Chip Choco,2021-07-19,6069,770
Gigi Bohling,Australia,Organic Choco Syrup,2021-07-20,1890,86
Gunar Cockshoot,USA,70% Dark Bites,2021-07-20,2660,167
Husein Augar,New Zealand,After Nines,2021-07-20,651,33
Madelene Upcott,UK,Manuka Honey Choco,2021-07-20,2800,187
Marney O'Breen,Australia,Eclairs,2021-07-20,2037,204
Kaine Padly,India,85% Dark Bars,2021-07-20,1001,48
Dennison Crosswaite,New Zealand,After Nines,2021-07-20,140,7
Karlen McCaffrey,Canada,70% Dark Bites,2021-07-20,1848,124
Gunar Cockshoot,Australia,Organic Choco Syrup,2021-07-20,2317,106
